TIME_PERIOD,Digital_Export_Value_MillionUSD,Digital_Export_Value_BillionUSD,YoY_Growth_Pct
2005,1223768.654542,1223.768654542,
2006,1420966.378441,1420.966378441,16.11397082014672
2007,1728661.700571,1728.6617005710002,21.653948101684527
2008,1931890.181524,1931.890181524,11.75640559895963
2009,1805982.805756,1805.982805756,-6.517315371864251
2010,1909233.00364,1909.23300364,5.7171196511352385
2011,2175739.408662,2175.739408662,13.958820349003975
2012,2252459.859831,2252.4598598310004,3.526178312695105
2013,2404675.786473,2404.675786473,6.757764227302165
2014,2645007.641801,2645.0076418010003,9.994355857863946
2015,2601048.679135,2601.048679135,-1.6619597603910297
2016,2694866.352511,2694.866352511,3.6069172456703047
2017,2921057.551645,2921.057551645,8.393410638833409
2018,3228385.650471,3228.385650471,10.521124400747507
2019,3386468.655569,3386.468655569,4.896658027052525
2020,3422448.485632,3422.448485632,1.062458676646294
2021,4019898.147704,4019.898147704,17.456790498971465
2022,4212672.52777,4212.67252777,4.7955040894780865
2023,4626931.045492,4626.931045492,9.833627346801865
2024,5014640.398127,5014.640398127,8.379406324041572
