category,test,sample,variable,coef,pval,se,note
稳健性,S0_基准,全样本(交互项),L1_Exposure,0.10476503888591955,0.00012048501008377066,0.027213924450100468,
稳健性,S1_剔除危机年,全样本(交互项),L1_Exposure,0.09929883914176045,0.0023132067872706497,0.03255679050267,
稳健性,S2_缩尾处理,全样本(交互项),L1_Exposure,0.10172869027180326,0.0002085672057725585,0.027401623463924968,
稳健性,S3_双向聚类SE,全样本(交互项),L1_Exposure,0.10476503888591955,0.0005493526105908586,0.030289323063911126,
稳健性,S0_基准,边缘组(Bottom33%),L1_Exposure,0.023783041624432698,0.01697614913003309,0.009946970501115837,
稳健性,S1_剔除危机年,边缘组(Bottom33%),L1_Exposure,0.02704299356430769,0.034923612087653044,0.012798265207870743,
稳健性,S2_缩尾处理,边缘组(Bottom33%),L1_Exposure,0.026599258229917305,0.02146929630259531,0.01154969203221474,
稳健性,S3_双向聚类SE,边缘组(Bottom33%),L1_Exposure,0.023783041624432698,0.001515801209680312,0.007479191658790968,
稳健性,S0_基准,核心组(Top33%),L1_Exposure,-0.0050636731037993704,0.43632601029915064,0.006502762407300465,
稳健性,S1_剔除危机年,核心组(Top33%),L1_Exposure,0.00012585788481756882,0.9867037100648004,0.007549792224087713,
稳健性,S2_缩尾处理,核心组(Top33%),L1_Exposure,-0.0021174076632600593,0.7716949143541671,0.007295621975258162,
稳健性,S3_双向聚类SE,核心组(Top33%),L1_Exposure,-0.0050636731037993704,0.38887752151064925,0.005874363472260468,
内生性,E1_反向回归,全样本(交互项),L1_Resilience->Exposure,0.04154164483253854,0.4988976813867849,0.061424974344070266,PASS(无反向因果)
内生性,E2_前置项F1,全样本(交互项),F1_Exposure,0.003972051425166735,0.6178108159945157,0.007959945852706556,PASS
内生性,E2_前置项L1,全样本(交互项),L1_Exposure(同模型),0.10133307590751091,0.0002096506149893429,0.027302935027274263,
内生性,E3_Oster_delta,全样本(交互项),L1_Exposure,0.10476503888591955,0.0,0.0,delta=-94.93 PASS(遗漏变量低估效应)
内生性,E1_反向回归,边缘组(Bottom33%),L1_Resilience->Exposure,0.08424378540627415,0.2433167946417627,0.07216461379693753,PASS(无反向因果)
内生性,E2_前置项F1,边缘组(Bottom33%),F1_Exposure,0.010720283564789185,0.6264603408521248,0.022019004137211987,PASS
内生性,E2_前置项L1,边缘组(Bottom33%),L1_Exposure(同模型),0.017384496375674022,0.18733713096451776,0.01317608036951738,
内生性,E3_Oster_delta,边缘组(Bottom33%),L1_Exposure,0.023783041624432698,0.0,0.0,delta=-1038.41 PASS(遗漏变量低估效应)
内生性,E1_反向回归,核心组(Top33%),L1_Resilience->Exposure,-0.009864853738446094,0.940263203334601,0.1316083536961743,PASS(无反向因果)
内生性,E2_前置项F1,核心组(Top33%),F1_Exposure,0.003970406917939176,0.660105251084377,0.009025815667779182,PASS
内生性,E2_前置项L1,核心组(Top33%),L1_Exposure(同模型),-0.009095701931980109,0.4318444931323624,0.011567044481103244,
内生性,E3_Oster_delta,核心组(Top33%),L1_Exposure,-0.0050636731037993704,0.0,0.0,delta=1.08 PASS(高度稳健)
